"person","perOcc","perBcity","perBcountry","perDcity","perDcountry","perBdate","perDdate"
"http://dbpedia.org/resource/Sylvia_Sleigh","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Llandudno","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States",1916-05-08,2010-10-24
"http://dbpedia.org/resource/Aloïse_Corbaz","http://dbpedia.org/class/yago/WikicatSwissPainters","http://dbpedia.org/resource/Lausanne","http://dbpedia.org/resource/Switzerland","http://dbpedia.org/resource/Gimel,_Switzerland","http://dbpedia.org/resource/Switzerland","1886-6-28","1964-4-5"
"http://dbpedia.org/resource/Betty_Parsons","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States","1900-1-31","1982-7-23"
"http://dbpedia.org/resource/Gertrude_Abercrombie","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Austin,_Texas","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/United_States_of_America",1909-02-17,1977-04-03
"http://dbpedia.org/resource/Olga_Della-Vos-Kardovskaya","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Chernihiv","http://dbpedia.org/resource/Ukraine","http://dbpedia.org/resource/Saint_Petersburg","http://dbpedia.org/resource/Russia","1875-9-2","1952-8-9"
"http://dbpedia.org/resource/Gina_Pellón","http://dbpedia.org/class/yago/WikicatExpressionistPainters","http://dbpedia.org/resource/Cienfuegos","http://dbpedia.org/resource/Cuba","http://dbpedia.org/resource/Paris","http://dbpedia.org/resource/France",1926-12-26,"2014-3-27"
"http://dbpedia.org/resource/Bertha_Lum","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Tipton","http://dbpedia.org/resource/England","http://dbpedia.org/resource/Genoa","http://dbpedia.org/resource/Italy","1869-1-1","1954-1-1"
"http://dbpedia.org/resource/Anna_Kostrova","http://dbpedia.org/class/yago/WikicatSovietPainters","http://dbpedia.org/resource/Omsk_Oblast","http://dbpedia.org/resource/Russia","http://dbpedia.org/resource/Saint_Petersburg","http://dbpedia.org/resource/Russia",1909-11-22,"1994-7-7"
"http://dbpedia.org/resource/Kiyohara_Tama","http://dbpedia.org/class/yago/WikicatItalianWomenPainters","http://dbpedia.org/resource/Tokyo","http://dbpedia.org/resource/Japan","http://dbpedia.org/resource/Tokyo","http://dbpedia.org/resource/Japan","1861-7-17","1939-4-6"
"http://dbpedia.org/resource/Angela_Gregory","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Louisiana","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/Louisiana","http://dbpedia.org/resource/United_States",1903-10-18,1990-02-13
"http://dbpedia.org/resource/Sarah_Purser","http://dbpedia.org/class/yago/WikicatIrishPainters","http://dbpedia.org/resource/County_Dublin","http://dbpedia.org/resource/Republic_of_Ireland","http://dbpedia.org/resource/Dublin","http://dbpedia.org/resource/Republic_of_Ireland",1848-03-22,1943-08-07
"http://dbpedia.org/resource/Anna_Cornelia_Holt","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Zwolle","http://dbpedia.org/resource/Netherlands","http://dbpedia.org/resource/Zwolle","http://dbpedia.org/resource/Netherlands","1671-1-1","1692-1-1"
"http://dbpedia.org/resource/Regina_Seiden","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Rigaud,_Quebec","http://dbpedia.org/resource/Canada","http://dbpedia.org/resource/Montreal","http://dbpedia.org/resource/Canada",1897-07-04,1991-01-11
"http://dbpedia.org/resource/Amalie_Mánesová","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Prague","http://dbpedia.org/resource/Czech_Republic","http://dbpedia.org/resource/Prague","http://dbpedia.org/resource/Czech_Republic","1817-1-21","1883-7-4"
"http://dbpedia.org/resource/Hortense_Gordon","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Hamilton,_Ontario","http://dbpedia.org/resource/Canada","http://dbpedia.org/resource/Hamilton,_Ontario","http://dbpedia.org/resource/Canada",1881-11-24,1961-11-06
"http://dbpedia.org/resource/Dorothy_Shakespear","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Greater_London","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/Greater_London","http://dbpedia.org/resource/United_Kingdom","1886-9-14","1973-12-8"
"http://dbpedia.org/resource/Elizabeth_Siddal","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/London","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/London","http://dbpedia.org/resource/United_Kingdom",1829-07-25,1862-02-11
"http://dbpedia.org/resource/Princess_Marie_of_Orléans_(1813–1839)","http://dbpedia.org/class/yago/WikicatFrenchPainters","http://dbpedia.org/resource/Palermo","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Pisa","http://dbpedia.org/resource/Italy",1813-04-12,1839-01-06
"http://dbpedia.org/resource/Elizabeth_Simcoe","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Whitchurch,_Herefordshire","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/Devon","http://dbpedia.org/resource/United_Kingdom",1762-09-22,1850-01-17
"http://dbpedia.org/resource/Lucia_Anguissola","http://dbpedia.org/class/yago/WikicatItalianRenaissancePainters","http://dbpedia.org/resource/Cremona","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Cremona","http://dbpedia.org/resource/Italy","1536-1-1","1565-1-1"
"http://dbpedia.org/resource/Frieda_Blell","http://dbpedia.org/ontology/Painter","http://dbpedia.org/resource/Brandenburg","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/Gauting","http://dbpedia.org/resource/Germany","1874-9-4","1951-3-5"
